"cv_0","pa","lon","lat","PC1","PC2","PC3","PC4","PC5"
4,0,-54.6124999996667,-17.6708333331895,0.277249842882156,-0.834088563919067,-0.0240689739584923,1.31669080257416,0.567405700683594
2,0,-43.8541666663333,-19.1874999998619,-0.424716830253601,-0.00274901324883103,-1.24146997928619,1.78991937637329,0.625669479370117
3,0,-45.545833333,-13.3458333331733,-0.421637266874313,-1.94699347019196,-1.34919083118439,0.224960848689079,0.559532821178436
2,0,-52.5541666663333,-17.2124999998545,0.347406476736069,-0.795255482196808,-0.715104699134827,1.05959033966064,0.251470327377319
1,0,-48.3791666663333,-21.8958333332054,-0.175078928470612,-0.165365993976593,-0.20944456756115,1.30934834480286,0.90219920873642
1,0,-52.320833333,-14.5124999998443,0.269335567951202,-1.9441454410553,-0.481075346469879,1.2398841381073,0.442821770906448
4,0,-54.4374999996667,-20.5541666665337,0.672492206096649,-0.374891996383667,0.310461610555649,0.458863079547882,0.801127910614014
3,0,-42.195833333,-17.5708333331892,-1.02411270141602,-0.146400064229965,-1.18190431594849,0.676202058792114,0.793693721294403
3,0,-52.770833333,-15.0124999998462,0.140675455331802,-1.64145386219025,-0.489307373762131,1.6050922870636,0.246670141816139
4,0,-42.295833333,-20.012499999865,-0.734034240245819,-0.0197502877563238,-0.53497713804245,1.13839554786682,0.732749402523041
4,0,-46.9624999996667,-22.479166666541,-0.361222922801971,0.437922835350037,-0.310514956712723,1.3205509185791,0.933568835258484
4,0,-47.7374999996667,-20.4541666665333,0.272940188646317,-0.236951589584351,-0.754259407520294,1.57536554336548,0.903694570064545
2,0,-43.2874999996667,-20.4291666665332,-0.445630460977554,0.180249974131584,-0.751398742198944,1.42770624160767,0.733197271823883
2,0,-50.7041666663333,-16.9624999998535,0.577969431877136,-1.00306355953217,-0.905864775180817,0.941653430461884,0.504174292087555
2,0,-56.570833333,-17.6041666665226,0.323633372783661,-1.67665266990662,0.296601295471191,0.201780259609222,0.859365582466125
3,0,-51.020833333,-16.8041666665196,0.517481923103333,-0.944831848144531,-0.903449594974518,0.963620126247406,0.487104505300522
2,0,-51.7374999996667,-16.3041666665177,0.457172751426697,-1.65491724014282,-0.535038709640503,0.970661640167236,0.406316637992859
4,0,-43.0541666663333,-20.7458333332011,-0.599942088127136,0.484878867864609,-0.626693069934845,1.2916122674942,0.67168402671814
1,0,-46.2374999996667,-20.5124999998669,-0.28548076748848,0.706489503383636,-0.648693799972534,2.05914258956909,0.668074667453766
4,0,-44.4541666663333,-14.3958333331772,-0.832291007041931,-2.31764483451843,-1.06700587272644,0.363039165735245,0.522742331027985
1,0,-52.2291666663333,-17.6874999998563,0.366008013486862,-0.26555210351944,-0.660553455352783,1.54829084873199,0.576429307460785
3,0,-41.1874999996667,-18.3291666665253,-0.130363866686821,-0.920496106147766,-0.319104611873627,-0.140850260853767,1.04350543022156
1,0,-56.2124999996667,-16.4791666665184,0.318194836378098,-1.525998711586,0.0969196557998657,0.362547367811203,0.956586718559265
3,0,-42.295833333,-19.5624999998633,-0.274722009897232,-0.313080698251724,-0.552611410617828,0.868349492549896,0.850357949733734
1,0,-54.845833333,-16.9208333331867,0.296209424734116,-1.01770877838135,-0.0500153861939907,1.41724896430969,0.624434232711792
3,0,-56.5374999996667,-14.9874999998461,0.364960730075836,-0.919141113758087,0.00979842897504568,0.410937279462814,1.28574812412262
3,0,-41.770833333,-16.7541666665194,-1.21619868278503,-1.07334220409393,-1.12654912471771,0.193940088152885,0.9050452709198
1,0,-42.4541666663333,-16.8874999998533,-0.999956607818604,-1.79536581039429,-0.991609990596771,0.582344591617584,0.821384251117706
3,0,-52.595833333,-12.0541666665017,0.849346399307251,-2.12646198272705,-0.639159440994263,1.38303685188293,0.340567141771317
1,0,-44.6374999996667,-22.4708333332076,-0.0487910285592079,0.621490478515625,-0.224315136671066,1.89158821105957,0.840409576892853
3,0,-45.9874999996667,-17.3958333331885,-0.386665880680084,-1.61841475963593,-1.03186976909637,0.967196106910706,0.448207795619965
4,0,-54.9374999996667,-13.4958333331738,0.889130532741547,-1.15467047691345,-0.745962500572205,2.50611162185669,0.829375684261322
2,0,-53.920833333,-19.7124999998639,0.518243372440338,-0.586571872234344,0.0913282036781311,0.807842671871185,0.81959193944931
2,0,-48.7541666663333,-15.7291666665156,0.212285503745079,-0.261085271835327,-1.37506997585297,0.608934938907623,0.654854238033295
4,0,-48.320833333,-15.2291666665137,0.160782560706139,-1.21686124801636,-1.03448283672333,0.627998828887939,0.621973395347595
4,0,-45.7041666663333,-13.1458333331725,-0.133222863078117,-1.91319632530212,-1.21222901344299,0.421681851148605,0.50584477186203
4,0,-57.0624999996667,-15.4791666665146,0.380041241645813,-0.562547504901886,-0.445781499147415,1.0783269405365,1.25207376480103
3,0,-51.8624999996667,-17.4208333331886,0.214061677455902,-0.302476108074188,-0.902543306350708,1.21923089027405,0.315979480743408
4,0,-49.7791666663333,-21.8208333332052,-0.493664979934692,-0.305091142654419,0.293681472539902,0.899014174938202,0.823679268360138
2,0,-50.3874999996667,-20.7624999998678,-0.421945810317993,-0.861775040626526,0.0282505266368389,0.932171821594238,0.885275959968567
2,0,-52.9791666663333,-16.1791666665173,0.216470032930374,-1.31578290462494,-0.302226990461349,2.03795337677002,0.571877121925354
3,0,-51.7624999996667,-15.487499999848,0.44513064622879,-1.88212156295776,-0.508812546730042,0.99812251329422,0.451695054769516
3,0,-42.795833333,-20.6458333332007,-0.789551615715027,0.462742775678635,-0.538306057453156,1.32675075531006,0.596361219882965
1,0,-45.9541666663333,-22.7458333332086,-0.816558063030243,2.93447542190552,-0.126717135310173,2.6727397441864,0.312834680080414
